Title,Rating,Release Date,Timestamp
头号玩家,8.6,No release date,2024-09-11T14:35:51.965805
花样年华,8.8,No release date,2024-09-11T14:35:51.965805
射雕英雄传之东成西就,8.7,No release date,2024-09-11T14:35:51.966802
七武士,9.3,No release date,2024-09-11T14:35:51.966802
惊魂记,9.0,No release date,2024-09-11T14:35:51.966802
我是山姆,9.0,No release date,2024-09-11T14:35:51.966802
血战钢锯岭,8.7,No release date,2024-09-11T14:35:51.966802
阳光姐妹淘,8.8,No release date,2024-09-11T14:35:51.966802
恐怖直播,8.7,No release date,2024-09-11T14:35:51.966802
你的名字。,8.5,No release date,2024-09-11T14:35:51.966802
黑客帝国3：矩阵革命,8.8,No release date,2024-09-11T14:35:51.966802
三块广告牌,8.7,No release date,2024-09-11T14:35:51.967798
心迷宫,8.8,No release date,2024-09-11T14:35:51.967798
电锯惊魂,8.7,No release date,2024-09-11T14:35:51.967798
达拉斯买家俱乐部,8.8,No release date,2024-09-11T14:35:51.967798
小丑,8.7,No release date,2024-09-11T14:35:51.967798
疯狂原始人,8.7,No release date,2024-09-11T14:35:51.967798
谍影重重3,8.8,No release date,2024-09-11T14:35:51.967798
心灵奇旅,8.7,No release date,2024-09-11T14:35:51.967798
背靠背，脸对脸,9.5,No release date,2024-09-11T14:35:51.967798
上帝之城,9.0,No release date,2024-09-11T14:35:51.968796
绿里奇迹,8.9,No release date,2024-09-11T14:35:51.968796
英雄本色,8.6,No release date,2024-09-11T14:35:51.968796
风之谷,8.9,No release date,2024-09-11T14:35:53.273826
爱在午夜降临前,8.9,No release date,2024-09-11T14:35:53.273826
海街日记,8.8,No release date,2024-09-11T14:35:53.273826
纵横四海,8.8,No release date,2024-09-11T14:35:53.273826
疯狂的石头,8.6,No release date,2024-09-11T14:35:53.273826
无间道2,8.8,No release date,2024-09-11T14:35:53.273826
2001太空漫游,8.9,No release date,2024-09-11T14:35:53.274823
卢旺达饭店,8.9,No release date,2024-09-11T14:35:53.274823
雨中曲,9.1,No release date,2024-09-11T14:35:53.274823
记忆碎片,8.7,No release date,2024-09-11T14:35:53.274823
小偷家族,8.7,No release date,2024-09-11T14:35:53.274823
无敌破坏王,8.7,No release date,2024-09-11T14:35:53.274823
岁月神偷,8.7,No release date,2024-09-11T14:35:53.274823
荒蛮故事,8.8,No release date,2024-09-11T14:35:53.274823
忠犬八公物语,9.2,No release date,2024-09-11T14:35:53.274823
冰川时代,8.6,No release date,2024-09-11T14:35:53.275820
